1 800 Flowers.com,1,,1 800 Flowers.com,,1-800-242-5353
1800PetSupplies.com,2,,1800PetSupplies.com,http://www.petsupplies.com/CS/GiftCard.aspx,1-800-738-7877
24 Hour Fitness,3,,24 Hour Fitness,,888-951-2597
5 & Diner,4,,5 & Diner,,480-962-7104
54th St Grill & Bar,5,,54th St Grill & Bar,https://54thstreetgrill.myguestaccount.com/login/accountbalance.srv?id=rF2B%2fXKTZhs%3d,(636) 287-8954
7 For All Mankind,6,,7 For All Mankind,http://www.7forallmankind.com/store/os/giftcardstatus.aspx?cid=linkshareaff&utm_source=linkshare&utm_medium=affiliate&siteID=TnL5HPStwNw-MU2IkYtnLVDeVt0edSCk3g,1-866-427-1114
7-Eleven,7,,7-Eleven,https://www.7-eleven.com/Cards/Gift-Cards/7-Eleven-Gift-Cards/,1-800-255-0711
76 Gas,8,,76 Gas,http://www.svmcards.net/76-gift-cards/ShowDetails.cfm?ProdID=246,1-877-526-6626
77kids,9,,77kids,https://www.ae.com/web/checkout/giftcards/giftCard.jsp?cid=aeo_aff_2617611,1-877-274-3004
99 Ranch Market,15,,99 Ranch Market,,
A Pea in the Pod,10,,A Pea in the Pod,,1-877-273-2763
A&P,11,,A&P,,800-219-0149
A&W,12,,A&W,,1-888-321-6375
A.C. Moore,13,178,A.C. Moore,http://www.acmoore.com/giftcard,1-888-226-6673
A.J. Wright,14,,A.J. Wright,,
Aaron Brothers,16,,Aaron Brothers,,
Abercrombie & Fitch,17,21,Abercrombie and Fitch,https://www.abercrombie.com/webapp/wcs/stores/servlet/GCLookup?storeId=10051&catalogId=10901&langId=-1,1-877-529-6991
Abercrombie Kids,18,,Abercrombie Kids,https://www.abercrombie.com/webapp/wcs/stores/servlet/GCLookup?storeId=10051&catalogId=10901&langId=-1,1-877-529-6991
Abuelo's,19,,Abuelo's,,(219) 769-6181
AC Outlets,20,,AC Outlets,,
Academy Sports,21,137,Academy Sports,http://www.academy.com/webapp/wcs/stores/servlet/GiftCardCheckBalance?langId=-1&storeId=10151&catalogId=10051&icid=gc_balance_20140429,888-922-2336
Ace Hardware,22,,Ace Hardware,,888-749-1509
Acme,23,,Acme,,877-932-7948
Acme Fresh,24,,Acme Fresh,,
Adidas,25,211,Adidas,http://www.adidas.com/us/help-topics-gift-cards.html,1-800-982-9337
Advance Auto Parts,26,236,Advance Auto Parts,,1-800-476-6941
Aerie,27,,Aerie,https://www.ae.com/web/checkout/giftcards/giftCard.jsp?navdetail=footer:c1:p1&cid=aeo_aff_2617611,1-877-274-3004
Aeropostale,28,57,Aeropostale,https://www.aeropostale.com/checkout/index.jsp?process=giftcardBalance,1-877-289-2376
Aerosoles,29,,Aerosoles,http://www.aerosoles.com/store/giftcardBalance.jsp,1-800-798-9478
AJ Wright,30,,AJ Wright,,
Alamo Cinema ,31,,Alamo Cinema ,,
Albertsons,32,241,Albertsons,,1-877-932-7948
Aldo,33,,Aldo,https://www.aldoshoes.com/us/en_US/gift-card/balance?cm_mmc=Affiliate-_-LS2-_-10-_-TnL5HPStwNw&utm_source=affiliate&utm_medium=affiliate&utm_campaign=linkshare&siteID=TnL5HPStwNw-UUL6pohe7HBLfFcHijkZuA&viewAll=false&dclid=COakroLqocgCFYIdRQodaiwDuQ,1-888-818-2536
All Saints,35,,All Saints,,
Allen Edmonds,36,,Allen Edmonds,,1-877-817-7615
Alta Mere,37,,Alta Mere,,
Altar'd State,38,,Altar'd State,,
Amazon.com,34,12,Amazon,Requires account login,
AMC Theatres,39,109,AMC Theatres,https://www.amcnationalsales.com/Standard/balanceinquiry.aspx?AspxAutoDetectCookieSupport=1,1-800-462-3966
American Airlines,40,19,American Airlines,https://giftcards.aa.com/checkBalanceCustomer.jsp,1-800-291-8189
American Apparel,41,,American Apparel,https://www.americanapparel.net/storefront/giftcardus/,1-888-747-0070
American Eagle Outfitters,42,79,American Eagle Outfitters,http://www.ae.com/web/checkout/giftcards/giftCard.jsp,1-800-699-5802
American Girl,43,312,American Girl,http://store.americangirl.com/agshop/static/giftCard.jsp,1-800-360-1861
American Golf,44,,American Golf,,
AMF Bowling Centers,45,,AMF Bowling Centers,http://www.amf.com/amf-bowling-gift-card-shopping-cart,
Ann Taylor,46,60,Ann Taylor,https://www.anntaylor.com/giftCard.jsp?cid=g_ps_brd&gclid=CN-qzOWYvqsCFQx3gwodjXhVsA&CID=aff_7103042,1-888-808-5019
Anne Klein,48,,Anne Klein,,1-888-841-2229
Annie Sez,49,,Annie Sez,,1-800-969-2446
Anthony's Restaurant ,50,,Anthony's Restaurant ,,
Anthropologie,51,255,Anthropologie,,1-800-920-5656
Any Mountain,53,,Any Mountain,,
Apple Store (not iTunes),55,14,Apple Store (not iTunes),https://secure1.store.apple.com/us/giftcard/balance,1-888-320-3301
Applebee's,56,117,Applebee's,http://www.applebees.com/gift-cards,1-855-282-3663
Arby's,57,323,Arbys,None,1-800-699-5802
ARCO,58,229,Arco,Unknown,1-877-227-3288
Arden B.,59,,Arden B.,http://www.wetseal.com/GiftCards,1-877-293-4444
Arirang Hibachi,60,,Arirang Hibachi,,
Aritzia,61,,Aritzia,,
Armani Exchange,62,313,Armani Exchange,https://www.armaniexchange.com/common/checkDVGCBalance.do?method=view,1-866-451-6910
Arriba Mexican Grill,63,,Arriba Mexican Grill,,480-948-9969
Art of Shaving,64,,Art of Shaving,,
Ashley Stewart,65,,Ashley Stewart,,1-888-716-5803
Asics,66,,Asics,,
AT&T,67,,AT&T,https://rewardcenter.att.com/CardBalance.aspx,(800)288-9983
Athleta,68,291,Athleta,"http://athleta.gap.com/browse/info.do?cid=52564&mlink=55287,8574355,12&clink=8574355",1-877-328-4538
Atlanta Bread,69,,Atlanta Bread,https://checkbalance.rewardforloyalty.com/abcGift/,770-432-0933
Au Bon Pain,70,359,Au Bon Pain,http://aubonpain.com/gift-card-balance,1-877-728-4100
Auntie Annes,71,,Auntie Annes,,717-435-1714
AutoZone,72,230,Autozone,http://www.autozone.com/shopping/cardBalanceInquiry.jsp,
Aveda,73,,Aveda,http://www.aveda.com/giftcards/balance.tmpl,1-800-644-4831
Avenue,74,,Avenue,http://www.avenue.com/en_US/landing?cgid=gift-cards,
Avis,75,,Avis,,877-467-8471
Avon,76,,Avon,,800-500-2866
B&H,77,,B&H,,
"Babies""R""Us",78,34,Babies R Us,https://www.toysrus.com/checkout/checkAccountBalance.jsp,1-800-869-7787
Baby Depot,79,,Baby Depot,,
Baby Gap,80,289,Baby Gap,"http://www.gap.com/customerService/info.do?cid=2116&mlink=5058,1615655,4&clink=1615655",800-427-7895
Back Bay Restaurant Group,81,,Back Bay Restaurant Group,https://tavistockrestaurants.myguestaccount.com/login/accountbalance.srv?id=Dsr%2fhEm8WGk%3d,(800) 424-2753
Bahama Breeze,82,90,Bahama Breeze,http://www.bahamabreeze.com/marketplace/gift_card/,1-800-248-2749
Baja Fresh,83,,Baja Fresh,http://www.bajafresh.com/gift-cards,877-225-2373
Bakers ,84,159,Baker's,https://www.gcbalance.com/CheckBalance.aspx,1-866-822-6252
Bakers Shoes,85,,Bakers Shoes,,
