1 800 Flowers.com,1,,,'1800Flowers_GiftCard.jpg (https://dl.airtable.com/5AHI0yTTTuuCR1DCFK2v_1800Flowers_GiftCard.jpg),,63.50%,63.50%,SaveYa,56.00%
1800PetSupplies.com,2,,,'1800petsupplies_gift_card.jpg (https://dl.airtable.com/gLWsUAaNS6q9CvwllDJw_1800petsupplies_gift_card.jpg),,71.50%,71.50%,SaveYa,65.00%
24 Hour Fitness,3,,,'24_hour_fitness_gift_card.jpg (https://dl.airtable.com/Z4QKI4QEQmG7rtQL0hRX_24_hour_fitness_gift_card.jpg),,72.50%,72.50%,SaveYa,65.00%
5 & Diner,4,,,'5 & Diner.jpeg (https://dl.airtable.com/2E22qnG8RrK4tgix3o4D_5%20%26%20Diner.jpeg),,,60.00%,CardCash,60.00%
54th St Grill & Bar,5,,,'54th_St_Grill__Bar_gift_card.jpg (https://dl.airtable.com/XviCL2uaR5av8Kx6nCii_54th_St_Grill__Bar_gift_card.jpg),,,45.00%,CardCash,45.00%
7 For All Mankind,6,,,'7_for_all_mankind.jpg (https://dl.airtable.com/0N71BcURkmNlzNUIZqZQ_7_for_all_mankind.jpg),,,55.00%,CardCash,55.00%
7-Eleven,7,,,'7-Eleven.jpg (https://dl.airtable.com/wYtat8toSGxlzFQKkIEA_7-Eleven.jpg),,81.50%,81.50%,SaveYa,75.00%
76 Gas,8,,,'76_gas_gift_card.jpg (https://dl.airtable.com/5wJtOyK1RBeLZeDAN7Yn_76_gas_gift_card.jpg),,89.50%,89.50%,SaveYa,87.00%
77kids,9,,,'77kids.jpg (https://dl.airtable.com/E4BSKOLMT4KeTyBIZNpW_77kids.jpg),,,55.00%,CardCash,55.00%
99 Ranch Market,15,,,'99_Ranch_Market.jpg (https://dl.airtable.com/HUel6AyNSXSDYgzxCDs0_99_Ranch_Market.jpg),76%,0.00%,79.00%,CardCash,79.00%
A Pea in the Pod,10,,,A_Pea_in_the_Pod.jpg (https://dl.airtable.com/HzIVbAuQxCQhP9pmvJHA_A_Pea_in_the_Pod.jpg),,63.50%,63.50%,SaveYa,57.00%
A&P,11,,,AP.jpg (https://dl.airtable.com/9tnbzzMStKJftepGMa2z_AP.jpg),,,55.00%,CardCash,55.00%
A&W,12,,,AW_gift_card.jpg (https://dl.airtable.com/Yxun7PfOQKu46o1yDj8a_AW_gift_card.jpg),,79.50%,79.50%,SaveYa,73.00%
A.C. Moore,13,,178,A.C._Moore.jpg (https://dl.airtable.com/MxtKA65T9Gy0p72vAMKg_A.C._Moore.jpg),,73.00%,73.00%,SaveYa,63.00%
A.J. Wright,14,,,A.J._Wright_gift_card.jpg (https://dl.airtable.com/6LHhCr9ReWhsBEEtPmQP_A.J._Wright_gift_card.jpg),,,67.00%,CardCash,67.00%
Aaron Brothers,16,,,Aaron Brothers.jpeg (https://dl.airtable.com/MHqqi47T3WTowlvRr2pV_Aaron%20Brothers.jpeg),80%,0.00%,83.00%,CardCash,83.00%
Abercrombie & Fitch,17,,178,Abercrombie__Fitch.jpg (https://dl.airtable.com/TKy30FlKSn6DH92Vx8NX_Abercrombie__Fitch.jpg),87%,91.00%,91.00%,SaveYa,90.00%
Abercrombie Kids,18,,,Abercrombie_Kids.jpg (https://dl.airtable.com/g1rz2ehsT8msMe28u4aq_Abercrombie_Kids.jpg),88%,91.00%,91.00%,SaveYa,91.00%
Abuelo's,19,,,Abuelo's.jpeg (https://dl.airtable.com/MVsxPjSYqxInfUs7O94g_Abuelo's.jpeg),,61.50%,61.50%,SaveYa,60.00%
AC Outlets,20,,,,,,45.00%,CardCash,45.00%
Academy Sports,21,,137,Academy_Sports_gift_card.jpg (https://dl.airtable.com/XBPQdR02Q2eqnSPKZqr4_Academy_Sports_gift_card.jpg),,72.50%,72.50%,SaveYa,70.00%
Ace Hardware,22,,,Ace_Hardware_gift_card.jpg (https://dl.airtable.com/kP0lXSmOQYSxamjHxa8L_Ace_Hardware_gift_card.jpg),,74.50%,74.50%,SaveYa,70.00%
Acme,23,,,Acme_gift_card.jpg (https://dl.airtable.com/vro0HCG2RoWE9YpvDukJ_Acme_gift_card.jpg),,88.50%,88.50%,SaveYa,81.00%
Acme Fresh,24,,,Acme_Fresh.jpg (https://dl.airtable.com/ZLU0IVtjQaCsGdQSfsrh_Acme_Fresh.jpg),,,15.00%,CardCash,15.00%
Adidas,25,,211,Adidas_gift_card.jpg (https://dl.airtable.com/AnTHYaVRZz6qnK1DZ1GQ_Adidas_gift_card.jpg),,79.50%,79.50%,SaveYa,71.00%
Advance Auto Parts,26,,236,Advance_Auto_gift_card.jpg (https://dl.airtable.com/YCDfuZM1QBq7T8aP3P9e_Advance_Auto_gift_card.jpg),,70.50%,70.50%,SaveYa,62.00%
Aerie,27,,,Aerie_gift_card.jpg (https://dl.airtable.com/RV9kcA4S7qtkeb9WlF7Q_Aerie_gift_card.jpg),,70.50%,70.50%,SaveYa,67.00%
Aeropostale,28,,57,Aeropostale.jpg (https://dl.airtable.com/u9KEvy2rSEq647UgePWq_Aeropostale.jpg),84%,69.00%,87.00%,CardCash,87.00%
Aerosoles,29,,,Aerosoles.jpg (https://dl.airtable.com/t8wHU9EiQCWXtwxaUHPe_Aerosoles.jpg),,63.00%,63.00%,SaveYa,55.00%
AJ Wright,30,,,,,,67.00%,CardCash,67.00%
Alamo Cinema ,31,,,Alamo_Cinema_gift_card.jpg (https://dl.airtable.com/Rx5NDOQUTeiwjPQTynYU_Alamo_Cinema_gift_card.jpg),,,46.00%,CardCash,46.00%
Albertsons,32,,,Albertsons_gift_card.jpg (https://dl.airtable.com/FdBU6DChQRu7Wrbd3Y7F_Albertsons_gift_card.jpg),84%,0.00%,87.00%,CardCash,87.00%
Aldo,33,,,Aldo.jpg (https://dl.airtable.com/Qhi9JhTnSo2vP3DHHOhH_Aldo.jpg),80%,71.00%,83.00%,CardCash,83.00%
All Saints,35,,,All_Saints_gift_card.jpg (https://dl.airtable.com/KYDOQLXTR8iq2EaPOa4w_All_Saints_gift_card.jpg),,,60.00%,CardCash,60.00%
Allen Edmonds,36,,,Allen_Edmonds_gift_card.jpg (https://dl.airtable.com/fu3YnFOUTA2reW4u3L2x_Allen_Edmonds_gift_card.jpg),,,65.00%,CardCash,65.00%
Alta Mere,37,,,Alta Mere.jpeg (https://dl.airtable.com/3fZ0aYw3SayCFe8zGzK7_Alta%20Mere.jpeg),,,55.00%,CardCash,55.00%
Altar'd State,38,,,Altar'd State.jpeg (https://dl.airtable.com/3IGhP3rjSAGcxZWBm4NP_Altar'd%20State.jpeg),,,55.00%,CardCash,55.00%
Amazon.com,34,,12,Amazon_gift_card.jpg (https://dl.airtable.com/Nyevb6M9QWSygasDbuAE_Amazon_gift_card.jpg),89%,79.00%,92.00%,CardCash,92.00%
AMC Theatres,39,,109,AMC_Theatres_gift_card.jpg (https://dl.airtable.com/QqxZSXBFScaNIHZ0J9kn_AMC_Theatres_gift_card.jpg),83%,74.00%,86.00%,CardCash,86.00%
American Airlines,40,,19,American_Airlines_gift_card.jpg (https://dl.airtable.com/1a3ugqMDTDm4OA9Bgwu0_American_Airlines_gift_card.jpg),,,76.00%,CardCash,76.00%
American Apparel,41,,,American_Apparel.jpg (https://dl.airtable.com/5AlEqN7TcC1YnUQeVmAJ_American_Apparel.jpg),,,61.00%,CardCash,61.00%
American Eagle Outfitters,42,,79,American Eagle Outfitters.jpeg (https://dl.airtable.com/dHUgsqsvRLSLop5o4UWE_American%20Eagle%20Outfitters.jpeg),80%,71.00%,83.00%,CardCash,83.00%
American Girl,43,,312,American_Girl.jpg (https://dl.airtable.com/3n2X8wReCQAwMMYTDJtQ_American_Girl.jpg),85%,83.00%,88.00%,CardCash,88.00%
American Golf,44,,,American_Golf_gift_card.jpg (https://dl.airtable.com/2eFsrj8TDuRi5eM66ADQ_American_Golf_gift_card.jpg),75%,0.00%,78.00%,CardCash,78.00%
AMF Bowling Centers,45,,,AMF_bowling.jpg (https://dl.airtable.com/Pl2Q8GyvTKqLgvXrGSmA_AMF_bowling.jpg),,,67.00%,CardCash,67.00%
Ann Taylor,46,,60,Ann_Taylor.jpg (https://dl.airtable.com/5O6OMKwQyMMb2m6q617Q_Ann_Taylor.jpg),73%,69.00%,76.00%,CardCash,76.00%
Anne Klein,48,,,Anne_Klein.jpg (https://dl.airtable.com/JvmDiTHASgGkG6a1HtNq_Anne_Klein.jpg),,,57.00%,CardCash,57.00%
Annie Sez,49,,,Annie Sez.png (https://dl.airtable.com/RqJY5YlWRhyzZ0bQUSp0_Annie%20Sez.png),,,45.00%,CardCash,45.00%
Anthony's Restaurant ,50,,,Anthony's Restaurant .jpeg (https://dl.airtable.com/UAnASABSmiBKGyLB8SuD_Anthony's%20Restaurant%20.jpeg),,,45.00%,CardCash,45.00%
Anthropologie,51,,255,Anthropologie_gift_card.jpg (https://dl.airtable.com/y0lbqyFgRWSnkFV91vDP_Anthropologie_gift_card.jpg),84%,10.00%,87.00%,CardCash,87.00%
Any Mountain,53,,,Any_Mountain.jpg (https://dl.airtable.com/EwlORBbTmGNyAdyQtDTW_Any_Mountain.jpg),,,45.00%,CardCash,45.00%
Apple Store (not iTunes),55,,14,Apple.jpg (https://dl.airtable.com/u9iUOeRQ0u3dhABCfy0s_Apple.jpg),87%,0.00%,90.00%,CardCash,90.00%
Applebee's,56,,117,Applebees_gift_card.jpg (https://dl.airtable.com/mlotAhOlR32an6ta8lPf_Applebees_gift_card.jpg),76%,75.00%,79.00%,CardCash,79.00%
Arby's,57,,323,Arbys_gift_card.jpg (https://dl.airtable.com/MdPASElTI29aKEifiNtB_Arbys_gift_card.jpg),,,71.00%,CardCash,71.00%
ARCO,58,,229,ARCO_gift_card.jpg (https://dl.airtable.com/i2B9bSEaT6mJw6l6PjIT_ARCO_gift_card.jpg),84%,90.00%,90.00%,SaveYa,87.00%
Arden B.,59,,,Arden_B..jpg (https://dl.airtable.com/Fqt8UWISYeQBagOpGOeb_Arden_B..jpg),,,60.00%,CardCash,60.00%
Arirang Hibachi,60,,,Arirang_Hibachi_gift_card.jpg (https://dl.airtable.com/EeRy4K4WTlSB9UFLU72Q_Arirang_Hibachi_gift_card.jpg),,,45.00%,CardCash,45.00%
Aritzia,61,,,Aritzia_gift_card.jpg (https://dl.airtable.com/vFDw5GtIRG6YtWyqkj7x_Aritzia_gift_card.jpg),,,45.00%,CardCash,45.00%
Armani Exchange,62,,313,Armani_Exchange.jpg (https://dl.airtable.com/8rWpV9DNR86uniVeXPWX_Armani_Exchange.jpg),,82.50%,82.50%,SaveYa,76.00%
Arriba Mexican Grill,63,,,Arriba_Mexican_Grill_gift_card.jpg (https://dl.airtable.com/EeYWu7JLQeKLa1J7jpIV_Arriba_Mexican_Grill_gift_card.jpg),,,56.00%,CardCash,56.00%
Art of Shaving,64,,,Art_of_Shaving.jpg (https://dl.airtable.com/M7Sg19fiShShZwTE0WUQ_Art_of_Shaving.jpg),,,60.00%,CardCash,60.00%
Ashley Stewart,65,,,Ashley-Stewart.jpg (https://dl.airtable.com/UOrEXdzuQXCpPEZ6vmag_Ashley-Stewart.jpg),,,45.00%,CardCash,45.00%
Asics,66,,,'41214-250.jpg (https://dl.airtable.com/xakvPqf1TtaNGPCA2OSu_41214-250.jpg),,,60.00%,CardCash,60.00%
AT&T,67,,,ATT.jpg (https://dl.airtable.com/3xGOlYRgQ5qL40QoLYJ6_ATT.jpg),,,60.00%,CardCash,60.00%
Athleta,68,,291,Athleta.jpg (https://dl.airtable.com/EUpB4fCCTBm1hHZSHiPh_Athleta.jpg),,,75.00%,CardCash,75.00%
Atlanta Bread,69,,,Atlanta-Bread1.jpg (https://dl.airtable.com/0sizO2qTNiNswY8xEPza_Atlanta-Bread1.jpg),,,60.00%,CardCash,60.00%
Au Bon Pain,70,,359,Au_Bon_Pain.jpg (https://dl.airtable.com/mguAg1T0TciqD1BevOz0_Au_Bon_Pain.jpg),,,55.00%,CardCash,55.00%
Auntie Annes,71,,,Auntie_Annes.jpg (https://dl.airtable.com/kRsF0rzTRdSUHJp6yB1A_Auntie_Annes.jpg),,,65.00%,CardCash,65.00%
AutoZone,72,,230,autozone gift card.gif (https://dl.airtable.com/6ecGxExJSQ2opkDBnrU6_autozone%20gift%20card.gif),74%,75.00%,77.00%,CardCash,77.00%
Aveda,73,,,Aveda.jpg (https://dl.airtable.com/sEVpGp6jQMGIga5xyXLi_Aveda.jpg),,,65.00%,CardCash,65.00%
Avenue,74,,,Avenue_gift_card.jpg (https://dl.airtable.com/7lejROhaSm2QaR0zOA2w_Avenue_gift_card.jpg),70%,58.00%,73.00%,CardCash,73.00%
Avis,75,,,Avis.jpg (https://dl.airtable.com/wLm5L3ccSBmNgBJZNtRb_Avis.jpg),,,45.00%,CardCash,45.00%
Avon,76,,,Avon.jpg (https://dl.airtable.com/wHumZFtvSJaZjsLlRS56_Avon.jpg),,,65.00%,CardCash,65.00%
B&H,77,,,BH.jpg (https://dl.airtable.com/xGQLbiwRuu4mZsj14I9B_BH.jpg),,,65.00%,CardCash,65.00%
"Babies""R""Us",78,,34,Babies%22R%22Us.jpeg (https://dl.airtable.com/A2LIlKrSRI1aUZAIDSqK_Babies%2522R%2522Us.jpeg),84%,83.00%,87.00%,CardCash,87.00%
Baby Depot,79,,,Baby_Depot.jpg (https://dl.airtable.com/IUQrkC20TXGhAktPPE28_Baby_Depot.jpg),76%,0.00%,79.00%,CardCash,79.00%
Baby Gap,80,,289,Baby_Gap.jpg (https://dl.airtable.com/bLiBjlrgRueVModShGPe_Baby_Gap.jpg),86%,77.00%,89.00%,CardCash,89.00%
Back Bay Restaurant Group,81,,,Back_Bay_Restaurant_Group.jpg (https://dl.airtable.com/OxsJMo6EReSTq65xo4j6_Back_Bay_Restaurant_Group.jpg),,,65.00%,CardCash,65.00%
Bahama Breeze,82,,90,Bahama_Breeze.jpg (https://dl.airtable.com/P8uiyHcKSbCqGvl72HuU_Bahama_Breeze.jpg),,,76.00%,CardCash,76.00%
Baja Fresh,83,,,Baja_Fresh.jpg (https://dl.airtable.com/dgb2FEksSM6Y5mWput6f_Baja_Fresh.jpg),82%,75.00%,85.00%,CardCash,85.00%
Bakers ,84,,159,bakers.jpg (https://dl.airtable.com/1ox5W6faQjCRQRXu747M_bakers.jpg),,,0.00%,CardCash,
Bakers Shoes,85,,,baker_shoes_gift_card.jpg (https://dl.airtable.com/GK1znlSQGyLb9r8BIlNx_baker_shoes_gift_card.jpg),,,45.00%,CardCash,45.00%
Ballard Designs,86,,,Ballard_Designs.jpg (https://dl.airtable.com/b1SJS4IQLaw9gPipDvEQ_Ballard_Designs.jpg),,,61.00%,CardCash,61.00%
Banana Republic,87,,48,banana_republic gift card.jpg (https://dl.airtable.com/d2OfovjSidB2LEt5xLhQ_banana_republic%20gift%20card.jpg),84%,80.00%,87.00%,CardCash,87.00%
Barclay Jewelers,88,,169,,,,0.00%,CardCash,
Bare Escentuals,89,,,bare_essen.jpg (https://dl.airtable.com/LU35Ad0S2itXWt6h5Y2m_bare_essen.jpg),,,68.00%,CardCash,68.00%
Bare Minerals,90,,347,bare_minerals.jpg (https://dl.airtable.com/ytK6mqsxRW5molM4i2Hd_bare_minerals.jpg),,,57.00%,CardCash,57.00%
Barnes & Noble,91,,95,barnes_and_noble gift card.jpg (https://dl.airtable.com/mAWQrZZLSQmHyEnYZfdV_barnes_and_noble%20gift%20card.jpg),82%,77.00%,85.00%,CardCash,85.00%
Barneys New York,92,,239,barneys gift card.jpg (https://dl.airtable.com/FbQ2qZyVQLqY0Ryrnlne_barneys%20gift%20card.jpg),83%,78.00%,86.00%,CardCash,86.00%
Baskin Robbins,93,,336,Baskin_Robbins.jpg (https://dl.airtable.com/8fHExSMNTDK3dccHoj0Z_Baskin_Robbins.jpg),78%,70.00%,81.00%,CardCash,81.00%
Bass,94,,,Bass Shoes.png (https://dl.airtable.com/ArS6CH3IRuq35VPqOaKT_Bass%20Shoes.png),,,46.00%,CardCash,46.00%
Bass Pro Shops,95,,30,bass_pro_shops gift card.jpg (https://dl.airtable.com/8tH9WR2LRASxwZORDzmb_bass_pro_shops%20gift%20card.jpg),82%,80.00%,85.00%,CardCash,85.00%
Bath & Body Works,96,,40,bath_and_bodyworks gift card.jpg (https://dl.airtable.com/hoiLUkKSyixIgyoon7NQ_bath_and_bodyworks%20gift%20card.jpg),82%,81.00%,85.00%,CardCash,85.00%
BCBGMAXAZRIA,97,,,BCBGMAXAZRIA_gift_card.jpg (https://dl.airtable.com/66S56OxDRrKGVW0Jh1XG_BCBGMAXAZRIA_gift_card.jpg),,,55.00%,CardCash,55.00%
Bealls,98,,,Bealls.jpg (https://dl.airtable.com/5dqLqGCvQnOd5qIriGg1_Bealls.jpg),,55.30%,55.30%,SaveYa,
Bebe,99,,222,bebe gift card.jpg (https://dl.airtable.com/XQpnXz8rRMO6Ml5w92X8_bebe%20gift%20card.jpg),81%,75.00%,84.00%,CardCash,84.00%
Bed & Breakfast,100,,,B&B.png (https://dl.airtable.com/QDr0S3IiQf6mNvjoafJn_B%26B.png),,,58.00%,CardCash,58.00%
Bed Bath & Beyond,101,,23,bed_bath_and_beyond gift card.jpg (https://dl.airtable.com/cEA7SzKbQNGdLUuQIgFy_bed_bath_and_beyond%20gift%20card.jpg),85%,85.00%,88.00%,CardCash,88.00%
Belk,104,,61,belk gift card.jpg (https://dl.airtable.com/RbQGxDRJT0O69KaoHEuN_belk%20gift%20card.jpg),,,62.00%,CardCash,62.00%
Bellacinos,105,,,Bellacinos.jpg (https://dl.airtable.com/0T4kbGysT3m1JhmS3V7T_Bellacinos.jpg),,,55.00%,CardCash,55.00%
Bellagio Hotel Las Vegas,106,,,bellagio_hotel.jpg (https://dl.airtable.com/FATnuhELSMWnGT63V6EB_bellagio_hotel.jpg),,,57.00%,CardCash,57.00%
Belle Tire,107,,,Belle_Tire.jpg (https://dl.airtable.com/06tuA6FuR76updWlAWYx_Belle_Tire.jpg),,,46.00%,CardCash,46.00%
